epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.455,1.2635,1.64211,1.15538,0.76175,0.31387,0.56669,0.30346,1.70985,inf,1.21162,0.000471617,0.000471617,0.000471617
2,248.184,1.0515,0.76933,1.05212,0.71288,0.60933,0.68678,0.3857,1.56018,inf,1.25003,0.000901027,0.000901027,0.000901027
3,361.061,1.00717,0.68427,1.037,0.50974,0.55503,0.44226,0.23808,1.5993,inf,1.27455,0.00128328,0.00128328,0.00128328
4,471.327,0.95778,0.61355,1.01704,0.56775,0.57112,0.59471,0.33495,1.61795,1.74309,1.28725,0.00121679,0.00121679,0.00121679
5,581.118,0.90859,0.55791,0.99768,0.70377,0.59583,0.67977,0.40763,1.61902,1.83586,1.31033,0.00114606,0.00114606,0.00114606
6,691.799,0.86772,0.52216,0.98041,0.77548,0.57558,0.67939,0.39491,1.6137,2.05049,1.3275,0.00107532,0.00107532,0.00107532
7,802.465,0.84152,0.4982,0.96954,0.63855,0.56923,0.57667,0.32524,1.55801,inf,1.25438,0.00100459,0.00100459,0.00100459
8,912.81,0.81709,0.481,0.95982,0.73298,0.62628,0.7357,0.4365,1.50707,1.67212,1.27041,0.000933851,0.000933851,0.000933851
9,1027.65,0.80535,0.46778,0.95234,0.73096,0.64072,0.73103,0.40394,1.55729,1.72825,1.27149,0.000863116,0.000863116,0.000863116
10,1143.15,0.78099,0.45164,0.94394,0.76785,0.62406,0.73035,0.44428,1.4845,1.69471,1.22989,0.00079238,0.00079238,0.00079238
11,1261.07,0.74332,0.4238,0.9271,0.70687,0.60551,0.66495,0.39453,1.52997,inf,1.27479,0.000721645,0.000721645,0.000721645
12,1370.6,0.72028,0.4075,0.9183,0.65684,0.46236,0.51749,0.30961,1.68366,inf,1.401,0.000650909,0.000650909,0.000650909
13,1480.64,0.69903,0.39492,0.91023,0.63458,0.52886,0.56843,0.33521,1.65516,inf,1.35328,0.000580174,0.000580174,0.000580174
14,1588.52,0.67994,0.38432,0.90176,0.71287,0.55836,0.64452,0.38771,1.59752,2.33496,1.33034,0.000509438,0.000509438,0.000509438
15,1696.03,0.66434,0.37432,0.89608,0.6806,0.49826,0.58899,0.3543,1.64047,2.37097,1.3471,0.000438703,0.000438703,0.000438703
16,1803.53,0.64603,0.36533,0.88816,0.70503,0.53166,0.60587,0.35932,1.57479,2.21004,1.31887,0.000367967,0.000367967,0.000367967
17,1910.24,0.62548,0.35421,0.88224,0.67451,0.4808,0.56286,0.32665,1.69592,inf,1.38617,0.000297232,0.000297232,0.000297232
18,2016.65,0.61163,0.34667,0.87608,0.69977,0.53249,0.61437,0.36484,1.59531,inf,1.35011,0.000226497,0.000226497,0.000226497
19,2124.33,0.59534,0.33849,0.87085,0.72314,0.53216,0.62925,0.37346,1.59794,inf,1.34294,0.000155761,0.000155761,0.000155761
20,2232.26,0.58194,0.33152,0.86692,0.70813,0.51114,0.59937,0.35563,1.63987,inf,1.36989,8.50E-05,8.50E-05,8.50E-05
